word,form,sentence,paraphrase
олдскул,олдскул,"Конечно, типа ""олдскул"", но нельзя же из альбома в альбом одно и то же… хотя с текстами по-прежнему всё хорошо.","Конечно, типа ""традиционный"", но нельзя же из альбома в альбом одно и то же… хотя с текстами по-прежнему всё хорошо."
олдскульный,олдскульных,"Сегодня интеллектуальные наследники тех позиций, в частности олдскульных коммунистов, возвращают Фуко упрек иного рода.","Сегодня интеллектуальные наследники тех позиций, в частности классических коммунистов, возвращают Фуко упрек иного рода."
олдскульный,олдскульных,"Колеса также стоят небольшие (около 65 мм), и остается задний загиб, как на олдскульных скейтах.","Колеса также стоят небольшие (около 65 мм), и остается задний загиб, как на классических скейтах."
олдскульный,"олдскульный, овердрайв","Я там нашел такой ""свой"" звук, олдскульный старый фузовый перегруз… овердрайв.","Я там нашел такой ""свой"" звук, традиционный старый фузовый перегруз…самая высокая передача."
овердрайв,"олдскульный, овердрайв","Я там нашел такой ""свой"" звук, олдскульный старый фузовый перегруз… овердрайв.","Я там нашел такой ""свой"" звук, традиционный старый фузовый перегруз…самая высокая передача."
олдскульный,"олдскульных, банд","О. Р. Р., кстати, хулиганская песня про письки да впрочем, у Непослушных все тексты хулиганские, как и музыка:))) Так что имей в виду: этот диск отличный набор суперхитов одной из самых значимых олдскульных рэп-банд.","О. Р. Р., кстати, хулиганская песня про письки да впрочем, у Непослушных все тексты хулиганские, как и музыка:))) Так что имей в виду: этот диск отличный набор суперхитов одной из самых значимых старомодых рэп-групп."
банд,"олдскульных, банд","О. Р. Р., кстати, хулиганская песня про письки да впрочем, у Непослушных все тексты хулиганские, как и музыка:))) Так что имей в виду: этот диск отличный набор суперхитов одной из самых значимых олдскульных рэп-банд.","О. Р. Р., кстати, хулиганская песня про письки да впрочем, у Непослушных все тексты хулиганские, как и музыка:))) Так что имей в виду: этот диск отличный набор суперхитов одной из самых значимых старомодых рэп-групп."
коннект,коннект,"Мне вчера Дима подмигнул так, невзначай, и я думаю у нас с ним коннект.","Мне вчера Дима подмигнул так, невзначай, и я думаю у нас с ним связь."
коннект,коннект,"Как ранее мне была подвластна погода, так теперь мне подвластен коннект в доме.","Как ранее мне была подвластна погода, так теперь мне подвластна связь в доме."
пост,"пост, коннекта","Работает сетевой шаманизм так: я хочу забабахать в ЖЖ пост, коннекта нет, я хочу чего-нибудь другого (или сознательно отказываюсь от затеи про пост и забабахивание) и voila!","Работает сетевой шаманизм так: я хочу забабахать в ЖЖ запись, связи нет, я хочу чего-нибудь другого (или сознательно отказываюсь от затеи про публикации и забабахивание) и voila!"
коннект,"пост, коннекта","Работает сетевой шаманизм так: я хочу забабахать в ЖЖ пост, коннекта нет, я хочу чего-нибудь другого (или сознательно отказываюсь от затеи про пост и забабахивание) и voila!","Работает сетевой шаманизм так: я хочу забабахать в ЖЖ запись, связи нет, я хочу чего-нибудь другого (или сознательно отказываюсь от затеи про публикации и забабахивание) и voila!"
коннект,коннекта,На второй день в Детройте знакомые украинцы скинули ей в знак уважения коды для безымянного коннекта.,На второй день в Детройте знакомые украинцы скинули ей в знак уважения коды для безымянной связи.
коннект,коннекта,"а то у меня Миранда тормозит ужастно, и последнее время часто нет коннекта… ","а то у меня Миранда тормозит ужастно, и последнее время часто нет соединения… "
фейспалм,"фейспалм, олдом","Когда я поинтересовалась, что же означают эти слова, у них случился ""фейспалм"" и меня окрестили ""олдом"".","Когда я поинтересовалась, что же означают эти слова, у них случился ""рукалицо"" и меня окрестили ""стариком""."
олд,"фейспалм, олдом","Когда я поинтересовалась, что же означают эти слова, у них случился ""фейспалм"" и меня окрестили ""олдом"".","Когда я поинтересовалась, что же означают эти слова, у них случился ""рукалицо"" и меня окрестили ""стариком""."
фейспалм,Фейспалм,– Фейспалм… – пробормотала я и хлопнула себя по лбу.,– Рукалицо… – пробормотала я и хлопнула себя по лбу.
фейспалм,Фейспалмами,Фейспалмами уже лоб себе отбил. Пощади!,Ударами по лбу уже лоб себе отбил. Пощади!
крейзи,крейзи,"Воу, Данила, ты что, крейзи?","Воу, Данила, ты что, сумасшедший?"
крейзи,крейзи,"Для крейзи, мечтающих о Венесуэле: из Москвы на о. Маргарита за 23 500 р. OW ","Для безумных, мечтающих о Венесуэле: из Москвы на о. Маргарита за 23 500 р. OW"
рашен,"рашен, крейзи, лав машин","В моде была ""АББА"", ""Би Джиз"" и ""Бони М"": хей, хей, Распутин, рашен крейзи лав машин!","В моде была ""АББА"", ""Би Джиз"" и ""Бони М"": хей, хей, Распутин, русская безумная машина любви!"
крейзи,"рашен, крейзи, лав машин","В моде была ""АББА"", ""Би Джиз"" и ""Бони М"": хей, хей, Распутин, рашен крейзи лав машин!","В моде была ""АББА"", ""Би Джиз"" и ""Бони М"": хей, хей, Распутин, русская безумная машина любви!"
лав машин,"рашен, крейзи, лав машин","В моде была ""АББА"", ""Би Джиз"" и ""Бони М"": хей, хей, Распутин, рашен крейзи лав машин!","В моде была ""АББА"", ""Би Джиз"" и ""Бони М"": хей, хей, Распутин, русская безумная машина любви!"
юзать,юзают,"Как будто они сами и журналисты, и телезрители не юзают работу во все дырки.","Как будто они сами и журналисты, и телезрители не используют работу во все дырки."
юзать,"юзать, гаджет","Что до самого аппарата, то мне не понравились его острые углы на лицевой стороне это вызывает дискомфорт и его батарея: если активно юзать гаджет, его вполне можно разрядить всего за 7-8 часов.","Что до самого аппарата, то мне не понравились его острые углы на лицевой стороне это вызывает дискомфорт и его батарея: если активно использовать устройство, его вполне можно разрядить всего за 7-8 часов."
гаджет,"юзать, гаджет","Что до самого аппарата, то мне не понравились его острые углы на лицевой стороне это вызывает дискомфорт и его батарея: если активно юзать гаджет, его вполне можно разрядить всего за 7-8 часов.","Что до самого аппарата, то мне не понравились его острые углы на лицевой стороне это вызывает дискомфорт и его батарея: если активно использовать устройство, его вполне можно разрядить всего за 7-8 часов."
юзать,юзаешь,"Не знал, что ты юзаешь такую фразу.","Не знал, что ты используешь такую фразу."
юзать,юзать,Предвосхищаю ваш вопрос – а псевдоним можно юзать?,Предвосхищаю ваш вопрос – а псевдоним можно использовать?
нон-стоп,нон-стоп,Премьера – это когда весь персонал работает в режиме нон-стоп.,Премьера – это когда весь персонал работает в безостановочном режиме.
нон-стоп,нон-стоп,"Завод проводил собственные предсерийные испытания, а два собранных в России Focus отправил накануне презентации в нон-стоп путешествие до Мурманска и обратно.","Завод проводил собственные предсерийные испытания, а два собранных в России Focus отправил накануне презентации в бесконечное путешествие до Мурманска и обратно."
нон-стоп,нон-стоп,"Те, кто, подобно мне, вечно жалуются на плохую погоду, сочли бы это место слишком успокаивающим, если не сказать депрессивным, – дождь тогда лил буквально нон-стоп.","Те, кто, подобно мне, вечно жалуются на плохую погоду, сочли бы это место слишком успокаивающим, если не сказать депрессивным, – дождь тогда лил буквально безостановочно."
трушный,трушный,"""Рядом с тобой даже Джонни Бой был трушный пацан"".","""Рядом с тобой даже Джонни Бой был настоящий пацан""."
трушный,трушная,"К примеру, трушная советская столовая — это действительно заведение, где блюда по вкусу схожи на блюда из чьей-то молодости или детства, где качество высокое, а цены очень низкие.","К примеру, правильная советская столовая — это действительно заведение, где блюда по вкусу схожи на блюда из чьей-то молодости или детства, где качество высокое, а цены очень низкие."
пост-продакшн,пост-продакшн,Так что фильм Полански пришлось заканчивать на стадии пост-продакшн во время швейцарского заключения.,Так что фильм Полански пришлось заканчивать на стадии завершения съемок во время швейцарского заключения.
продакшн,продакшн,"— Мы с удовольствием продолжим сотрудничество как с ""ТриТэ"", так и начнем сотрудничать с другими продакшн-компаниями.","— Мы с удовольствием продолжим сотрудничество как с ""ТриТэ"", так и начнем сотрудничать с другими производственными компаниями."
продакшн,продакшн,"У нас уже очень многие говорили о том, что они работают за границей, что они делают продакшн.","У нас уже очень многие говорили о том, что они работают за границей, что они делают производство."
ван лав,ван лав,"""Пирог моей двоюродной тети идеален, ну просто ван лав""","""Пирог моей двоюродной тети идеален, ну просто единственная любовь"""
бист,"бист, дамаг","Он лютый бист в этой игре, постоянно выдает максимальный дамаг врагу.","Он лютый зверь в этой игре, постоянно выдает максимальный урон врагу."
дамаг,"бист, дамаг","Он лютый бист в этой игре, постоянно выдает максимальный дамаг врагу.","Он лютый зверь в этой игре, постоянно выдает максимальный урон врагу."
бист,бист,Этот бист жмет 200 кг лежа.,Этот зверь жмет 200 кг лежа.
бэкстэйдж,бэкстэйдж,"После концерта мы прошли в бэкстэйдж, чтобы увидиться с музыкальной группой.","После концерта мы прошли за сцену, чтобы увидиться с музыкальной группой."
бэкстэйдж,бэкстэйджем,Сара поделилась бэкстэйджем со съемок своего нового клипа.,Сара поделилась закадровыми видеозаписями со съемок своего нового клипа.
бенчмарк,бенчмарк,"Этот бенчмарк в течение октября показывал плюс в 4%, тогда как по итогам месяца растерял практически весь свой подъем.","Этот тест производительности в течение октября показывал плюс в 4%, тогда как по итогам месяца растерял практически весь свой подъем."
оффер,оффер,"Потом, через пару дней, хозяин присылает мне оффер, так называется предложение о контракте, на один год.","Потом, через пару дней, хозяин присылает мне приглашение на работу, так называется предложение о контракте, на один год."
хай,Хай,"""Хай!"" - приветствовал он Москвича весьма дружелюбно, но несколько небрежно, так как то и дело заглядывал в ворох бумаг, что нёс в руках.","Привет! - приветствовал он Москвича весьма дружелюбно, но несколько небрежно, так как то и дело заглядывал в ворох бумаг, что нёс в руках."
хай,"Хай, фолкс","Красавец продавец с соломенными выгоревшими волосами приветливо улыбается: ""Хай, фолкс! Как дела?""","Красавец продавец с соломенными выгоревшими волосами приветливо улыбается: ""Привет, ребята! Как дела?"""
фолкс,"Хай, фолкс","Красавец продавец с соломенными выгоревшими волосами приветливо улыбается: ""Хай, фолкс! Как дела?""","Красавец продавец с соломенными выгоревшими волосами приветливо улыбается: ""Привет, ребята! Как дела?"""
хеллоу,Хеллоу,"Хеллоу, то ли проговорил, то ли пропел немолодой, но приятный мужественный голос.","Здравствуйте, то ли проговорил, то ли пропел немолодой, но приятный мужественный голос."
хеллоу,"Хеллоу, френдз, Май нейм","Но все стало ясно, когда фифа приветствовала нас по-английски: ""Хеллоу, френдз! Май нейм из Майя Аркадьевна.""","Но все стало ясно, когда фифа приветствовала нас по-английски: ""Здравствуйте, друзья! Моё имя это Майя Аркадьевна."""
френдз,"Хеллоу, френдз, Май нейм","Но все стало ясно, когда фифа приветствовала нас по-английски: ""Хеллоу, френдз! Май нейм из Майя Аркадьевна.""","Но все стало ясно, когда фифа приветствовала нас по-английски: ""Здравствуйте, друзья! Моё имя это Майя Аркадьевна."""
май нейм,"Хеллоу, френдз, Май нейм","Но все стало ясно, когда фифа приветствовала нас по-английски: ""Хеллоу, френдз! Май нейм из Майя Аркадьевна.""","Но все стало ясно, когда фифа приветствовала нас по-английски: ""Здравствуйте, друзья! Моё имя это Майя Аркадьевна."""
ху из ху,ху из ху,"Давайте еще раз пройдемся по именам этих шишек, чтобы точно понимать ху из ху.","Давайте еще раз пройдемся по именам этих шишек, чтобы точно понимать кто есть кто."
кастомизация,Кастомизация,Кастомизация продукции позволяет ориентироваться на желания каждого клиента по отдельности.,Индивидуализация продукции позволяет ориентироваться на желания каждого клиента по отдельности.
хил,"хил, пати","""Отличный хил, как он тут держит такое слабое пати"" ","""Отличное лечение, как он тут держит такую слабую команду"" "
пати,"хил, пати","""Отличный хил, как он тут держит такое слабое пати"" ","""Отличное лечение, как он тут держит такую слабую команду"" "
хил,хила,"""Найдите кто-нибудь хорошего хила, без него не пройдем""","""Найдите кто-нибудь хорошего лечения, без него не пройдем"""
хилиться,хилься,У тебя 13 единиц здоровья — хилься быстрее!,У тебя 13 единиц здоровья — лечись быстрее!
хилиться,Хилиться,Хилиться во время боя.,Лечиться во время боя.
хилиться,"Хилиться, ХП",Хилиться лучше всего на уровне около 60% ХП.,Лечиться лучше всего на уровне около 60% здоровья.
хп,"Хилиться, ХП",Хилиться лучше всего на уровне около 60% ХП.,Лечиться лучше всего на уровне около 60% здоровья.
захилиться,захилиться,"""Радует то, что сегодня нет игр и я могу захилиться""","""Радует то, что сегодня нет игр и я могу полечиться"""
импакт,импакта,Твои действия бесполезны и не дают импакта.,Твои действия бесполезны и не дают пользы.
имба,Имба,"Имба это определенный персонаж или предмет, который значительно выделяется в игре с сильной стороны.","Несбалансированный герой это определенный персонаж или предмет, который значительно выделяется в игре с сильной стороны."
имба,имба,Глупо равнять меня ко всем остальным и орать што мы имба.,Глупо равнять меня ко всем остальным и орать што мы несбалансированные.
имба,"имба, критом",Я видел только одного имба мага с критом 18!,Я видел только одного несбалансированного мага с сильным ударом 18!
крит,"имба, критом",Я видел только одного имба мага с критом 18!,Я видел только одного несбалансированного мага с сильным ударом 18!
имбовый,имбовый,"Раздражают мажоры, который покупают имбовый шмот, когда наконец прикроют эту возможность.","Раздражают мажоры, который покупают слишком дорогой шмот, когда наконец прикроют эту возможность."
имбовый,имбовый,"Толян, расскажи-ка своему корешу, где ты раздобыл этот имбовый меч?","Толян, расскажи-ка своему корешу, где ты раздобыл этот несбалансированный меч?"
имбовый,имбовая,"Нихера у тебя имбовая экипировка, всех выносишь с первого удара.","Нихера у тебя несбалансированная экипировка, всех выносишь с первого удара."
стамина,стамину,"Пожалуй прокачаю персонажу стамину, смогу бегать дольше.","Пожалуй прокачаю персонажу выносливость, смогу бегать дольше."
стамина,стамины,"Для того чтобы пробежать марафон, нужно иметь много стамины.","Для того чтобы пробежать марафон, нужно иметь много выносливости."
слот,слот,"И все как-то пошло-поехало, я начал искать возможности сыграть на концертах, отправил, кажется, тысячу писем, получил тысячу отказов, а потом один фестиваль сказал, что у них есть один слот.","И все как-то пошло-поехало, я начал искать возможности сыграть на концертах, отправил, кажется, тысячу писем, получил тысячу отказов, а потом один фестиваль сказал, что у них есть одна ячейка."
слот,слоты,"МЭС представляет собой метод получения консолидированных решений по правилам, основанным на принципах классического генетического алгоритма , и позволяет легко алгоритмизировать коллективную работу, которая должна быть разбита на отдельные слоты, подлежащие заполнению в соответствии с целями проекта.","МЭС представляет собой метод получения консолидированных решений по правилам, основанным на принципах классического генетического алгоритма , и позволяет легко алгоритмизировать коллективную работу, которая должна быть разбита на отдельные разделы, подлежащие заполнению в соответствии с целями проекта."
слот,слотами,"Например, при групповом тестировании, слотами являются вопросы теста: акторы заполняют слоты ответами, либо, если они не уверены в правильности своего мнения, оставляют их незаполненными.","Например, при групповом тестировании, ячейками являются вопросы теста: акторы заполняют ячейки ответами, либо, если они не уверены в правильности своего мнения, оставляют их незаполненными."
слот,слот,"Если вам нужно получить новые знания или практику по своей основной деятельности, то, возможно, вы могли бы включить обучение во временной слот для этой деятельности.","Если вам нужно получить новые знания или практику по своей основной деятельности, то, возможно, вы могли бы включить обучение во временную ячейку для этой деятельности."
слот,слоты,"Билет, визу и проживание за границей ученики будут оплачивать самостоятельно, школа только бронирует слоты на марафоне и помогает сориентироваться на месте, организует тренировку, обед перед забегом.","Билет, визу и проживание за границей ученики будут оплачивать самостоятельно, школа только бронирует места на марафоне и помогает сориентироваться на месте, организует тренировку, обед перед забегом."
триггер,триггером,"Кроме того, вышеперечисленные обстоятельства могут стать триггером, даже если произошли не с нами, а кем-то из наших близких.","Кроме того, вышеперечисленные обстоятельства могут стать провокацией, даже если произошли не с нами, а кем-то из наших близких."
триггер,"триггером, фейком","Суть в том, что Тереза Мэй ничего подобного о Лаврове не говорила в принципе, сообщение, ставшее триггером для реакции Захаровой и Симоньян, оказалось фейком из канала ""Незыгарь"".","Суть в том, что Тереза Мэй ничего подобного о Лаврове не говорила в принципе, сообщение, ставшее стимулом для реакции Захаровой и Симоньян, оказалось обманом из канала ""Незыгарь""."
фейк,"триггером, фейком","Суть в том, что Тереза Мэй ничего подобного о Лаврове не говорила в принципе, сообщение, ставшее триггером для реакции Захаровой и Симоньян, оказалось фейком из канала ""Незыгарь"".","Суть в том, что Тереза Мэй ничего подобного о Лаврове не говорила в принципе, сообщение, ставшее стимулом для реакции Захаровой и Симоньян, оказалось обманом из канала ""Незыгарь""."
триггер,триггера,"Большевики вынужденно мариновались без работы и ждали у моря погоды какого-то события-триггера, который еще раз нарушит обычное положение дел; теперь к нему готовились еще более тщательно продумывали точный детальный план действий, снимали планы города, составляли карты.","Большевики вынужденно мариновались без работы и ждали у моря погоды какого-то события-стимула, который еще раз нарушит обычное положение дел; теперь к нему готовились еще более тщательно продумывали точный детальный план действий, снимали планы города, составляли карты."
триггер,"""триггером""","В 1910-м смерть Толстого действительно стала ""триггером"", запустившим в России новую волну революционного подъема: серия студенческих волнений заново растормошила интеллигенцию которая вновь принялась дергать за рукав рабочих.","В 1910-м смерть Толстого действительно стала ""стимулом"", запустившим в России новую волну революционного подъема: серия студенческих волнений заново растормошила интеллигенцию которая вновь принялась дергать за рукав рабочих."
триггер,триггера,"Наличие в вопросе/ сообщении некоего эмоционального триггера способно на 50% увеличить как время обдумывания ответа на вопрос, так и расширенность ответа (а следовательно, вовлеченность респондента в коммуникацию).","Наличие в вопросе/ сообщении некоего эмоциональноц провокации способно на 50% увеличить как время обдумывания ответа на вопрос, так и расширенность ответа (а следовательно, вовлеченность респондента в коммуникацию)."
триггерить,триггерить,"Затем ещё больше денег тратят на выработку рекомендаций, как этот страх наиболее эффективно триггерить.","Затем ещё больше денег тратят на выработку рекомендаций, как этот страх наиболее эффективно заманивать."
триггерить,триггерить,"""Я обойду ее сзади чтобы не триггерить и нанести удар сбоку,там ее слабое место""","""Я обойду ее сзади чтобы не провоцировать и нанести удар сбоку,там ее слабое место"""
буктрейлер,"буктрейлер, тизер","Это же не буктрейлер, это тизер мультфильма.","Это же не анонс книги, это анонс мультфильма."
тизер,"буктрейлер, тизер","Это же не буктрейлер, это тизер мультфильма.","Это же не анонс книги, это анонс мультфильма."
тизер,тизером,"Этот формат может как быть самодостаточным, так и служить тизером для большого видео.","Этот формат может как быть самодостаточным, так и служить анонсом для большого видео."
тизер,"тизерами, релиз","Фанаты были утомлены бесконечными тизерами и лишь фрагментами потенциально прекрасных песен, однако релиз ""History"" прояснил ситуацию.","Фанаты были утомлены бесконечными анонсами и лишь фрагментами потенциально прекрасных песен, однако выход ""History"" прояснил ситуацию."
релиз,"тизерами, релиз","Фанаты были утомлены бесконечными тизерами и лишь фрагментами потенциально прекрасных песен, однако релиз ""History"" прояснил ситуацию.","Фанаты были утомлены бесконечными анонсами и лишь фрагментами потенциально прекрасных песен, однако выход ""History"" прояснил ситуацию."
тизерить,тизерить,Хидео Кодзима начал тизерить свою следующую игру.,Хидео Кодзима начал анонсировать свою следующую игру.
тизерить,тизернул,Вчера мой любимый певец тизернул выход своего нового альбома.,Вчера мой любимый певец анонсировал выход своего нового альбома.
хоррор,"хоррор, триллер","""Дом листьев"" — не то хоррор, не то триллер, но нас в данном случае интересует скорее не жанр, а тот факт, что Данилевский сочинил успешный леденящий душу роман, используя при этом комбинаторные методы.","""Дом листьев"" — не то фильм ужасов, не то тревожный фильм, но нас в данном случае интересует скорее не жанр, а тот факт, что Данилевский сочинил успешный леденящий душу роман, используя при этом комбинаторные методы."
триллер,"хоррор, триллер","""Дом листьев"" — не то хоррор, не то триллер, но нас в данном случае интересует скорее не жанр, а тот факт, что Данилевский сочинил успешный леденящий душу роман, используя при этом комбинаторные методы.","""Дом листьев"" — не то фильм ужасов, не то тревожный фильм, но нас в данном случае интересует скорее не жанр, а тот факт, что Данилевский сочинил успешный леденящий душу роман, используя при этом комбинаторные методы."
хоррор,Хоррор,"Хоррор не очень-то приживался в первые два этапа постсоветской фантастики, хотя попытки и были, а сейчас прижился и расцвел.","Фильмы ужасов не очень-то приживались в первые два этапа постсоветской фантастики, хотя попытки и были, а сейчас прижился и расцвел."
хоррор,хоррор,"Главный хоррор года, одновременно жуткий и человечный, прямо как в 1970-е.","Главный фильм ужасов года, одновременно жуткий и человечный, прямо как в 1970-е."
хоррор,хоррор,"В общем, стандартный хоррор об одержимости дьяволом.","В общем, стандартный фильм ужасов об одержимости дьяволом."
хоррор,хоррор,Очередная (и безуспешная) попытка снять страшный русский хоррор.,Очередная (и безуспешная) попытка снять страшный русский фильм ужасов.
хоррор,хорроры,"Автор исследует ""технологию страха"", благодаря которой хорроры так глубоко захватывают и ужасают зрителя, предлагает развернутую классификацию фильмов и, конечно, рассказывает об истории развития жанра.","Автор исследует ""технологию страха"", благодаря которой фильмы ужасов так глубоко захватывают и ужасают зрителя, предлагает развернутую классификацию фильмов и, конечно, рассказывает об истории развития жанра."
зомби-хоррор,"зомби-хоррор, трэша","Тем более что жанр зомби-хоррора и связанная с ним эстетика трэша в России, как и масса других нишевых стилей, никак не развиты.","Тем более что жанр фильма ужасов про мертвецов и связанная с ним эстетика чернухи в России, как и масса других нишевых стилей, никак не развиты."
трэш,"зомби-хоррор, трэша","Тем более что жанр зомби-хоррора и связанная с ним эстетика трэша в России, как и масса других нишевых стилей, никак не развиты.","Тем более что жанр фильма ужасов про мертвецов и связанная с ним эстетика чернухи в России, как и масса других нишевых стилей, никак не развиты."
кейс,кейса,Глава МОК призвал обсудить вопрос минимального возраста спортсменов на Олимпиаде после кейса с Валиевой.,Глава МОК призвал обсудить вопрос минимального возраста спортсменов на Олимпиаде после случая с Валиевой.
кейс,кейсов,"Главное предназначение кейсов – развивать способность разрабатывать проблемы и находить их решение, учиться работать с информацией.","Главное предназначение событий – развивать способность разрабатывать проблемы и находить их решение, учиться работать с информацией."
кейс,"кейс, кейса","Кейс не предлагает обучающимся проблему в открытом виде, а участникам образовательного процесса предстоит вычленить ее из той информации, которая содержится в описании кейса.","Случай не предлагает обучающимся проблему в открытом виде, а участникам образовательного процесса предстоит вычленить ее из той информации, которая содержится в описании случая."
кейс,"кейс, кейса","Кейс не предлагает обучающимся проблему в открытом виде, а участникам образовательного процесса предстоит вычленить ее из той информации, которая содержится в описании кейса.","Случай не предлагает обучающимся проблему в открытом виде, а участникам образовательного процесса предстоит вычленить ее из той информации, которая содержится в описании случая."
кастинг,Кастинг,Кастинг – первоклассный.,Пробы – первоклассные.
